date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:58:48	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Jan%202022%2008:28:47%20GMT	http://pegasustl.com/robots.txt		(from )
13:58:48	14366/14366	---M-Z	200	added ('OK')	text/html	etag:%226880069-381e-5bd532a5c8845-gzip%22	http://pegasustl.com/	D:/My%20Web%20Sites/Original/GRANLIFE/pegasustl.com/index.html	(from )
13:58:49	140936/140936	---M-Z	200	added ('OK')	text/css	etag:%2269201a6-22688-5bb88a2090600-gzip%22	http://pegasustl.com/lib/bootstrap/css/bootstrap.min.css	D:/My%20Web%20Sites/Original/GRANLIFE/pegasustl.com/lib/bootstrap/css/bootstrap.min.css	(from http://pegasustl.com/)
13:58:49	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%226982f0f-7918-5bb88a2090600-gzip%22	http://pegasustl.com/lib/font-awesome/css/font-awesome.min.css	D:/My%20Web%20Sites/Original/GRANLIFE/pegasustl.com/lib/font-awesome/css/font-awesome.min.css	(from http://pegasustl.com/)
13:58:50	28741/28741	---M-Z	200	added ('OK')	text/css	etag:%226902240-7045-5bb88a2090600-gzip%22	http://pegasustl.com/lib/animate/aos.css	D:/My%20Web%20Sites/Original/GRANLIFE/pegasustl.com/lib/animate/aos.css	(from http://pegasustl.com/)
13:58:50	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%2269a2fb5-d17-5bb88a2090600-gzip%22	http://pegasustl.com/lib/owl/owl.carousel.min.css	D:/My%20Web%20Sites/Original/GRANLIFE/pegasustl.com/lib/owl/owl.carousel.min.css	(from http://pegasustl.com/)
13:58:50	2887/2887	---M-Z	200	added ('OK')	text/css	etag:%2269e2e55-b47-5bb88a2090600-gzip%22	http://pegasustl.com/lib/viewbox/viewbox.css	D:/My%20Web%20Sites/Original/GRANLIFE/pegasustl.com/lib/viewbox/viewbox.css	(from http://pegasustl.com/)
13:58:50	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Jan%202022%2008:28:50%20GMT	http://pegasustl.com/css/slider.css	D:/My%20Web%20Sites/Original/GRANLIFE/pegasustl.com/css/slider.css	(from http://pegasustl.com/)
13:58:50	215/215	---M-Z	200	added ('OK')	text/css	etag:%2269c1ffe-d7-5bb88a2090600-gzip%22	http://pegasustl.com/lib/slider/css/style.css	D:/My%20Web%20Sites/Original/GRANLIFE/pegasustl.com/lib/slider/css/style.css	(from http://pegasustl.com/)
13:58:51	3033/3033	---M-Z	200	added ('OK')	text/css	etag:%2269c1ffb-bd9-5bb88a2090600-gzip%22	http://pegasustl.com/lib/slider/css/jquery.carousel-line-arrow.css	D:/My%20Web%20Sites/Original/GRANLIFE/pegasustl.com/lib/slider/css/jquery.carousel-line-arrow.css	(from http://pegasustl.com/)
13:58:51	28228/28228	---M-Z	200	added ('OK')	text/css	etag:%226882129-6e44-5bc11bd98bf78-gzip%22	http://pegasustl.com/css/style.css	D:/My%20Web%20Sites/Original/GRANLIFE/pegasustl.com/css/style.css	(from http://pegasustl.com/)
13:58:51	14484/14484	---M-Z	200	added ('OK')	text/html	etag:%22688072d-3894-5bd532bdc003f-gzip%22	http://pegasustl.com/products.html	D:/My%20Web%20Sites/Original/GRANLIFE/pegasustl.com/products.html	(from http://pegasustl.com/)
13:58:54	49481/49481	---M--	200	added ('OK')	image/png	etag:%2268c2ef7-c149-5bb88a2090600%22	http://pegasustl.com/images/pegasus_logo_black.png	D:/My%20Web%20Sites/Original/GRANLIFE/pegasustl.com/images/pegasus_logo_black.png	(from http://pegasustl.com/)
13:59:00	43646/43646	---M--	200	added ('OK')	image/png	etag:%2268c2ef9-aa7e-5bb88a2090600%22	http://pegasustl.com/images/pegasus_web_lighter.png	D:/My%20Web%20Sites/Original/GRANLIFE/pegasustl.com/images/pegasus_web_lighter.png	(from http://pegasustl.com/)
14:00:54	752172/752172	---M--	200	added ('OK')	image/jpeg	etag:%2268c2f03-b7a2c-5bb88a2090600%22	http://pegasustl.com/images/slider_bg_one.jpg	D:/My%20Web%20Sites/Original/GRANLIFE/pegasustl.com/images/slider_bg_one.jpg	(from http://pegasustl.com/)
14:01:55	1124122/1124122	---M--	200	added ('OK')	image/jpeg	etag:%2268c2f05-11271a-5bb88a2090600%22	http://pegasustl.com/images/slider_bg_two.jpg	D:/My%20Web%20Sites/Original/GRANLIFE/pegasustl.com/images/slider_bg_two.jpg	(from http://pegasustl.com/)
14:02:07	9599/9599	---M-Z	200	added ('OK')	text/html	etag:%2268801d5-257f-5bd532b63171e-gzip%22	http://pegasustl.com/about.html	D:/My%20Web%20Sites/Original/GRANLIFE/pegasustl.com/about.html	(from http://pegasustl.com/)
14:02:27	92312/92312	---M--	200	added ('OK')	image/png	etag:%2268c2edd-16898-5bb88a2090600%22	http://pegasustl.com/images/Capexil_1.png	D:/My%20Web%20Sites/Original/GRANLIFE/pegasustl.com/images/Capexil_1.png	(from http://pegasustl.com/)
14:02:31	23689/23689	---M--	200	added ('OK')	image/png	etag:%2268c2edf-5c89-5bb88a2090600%22	http://pegasustl.com/images/FIEO_2.png	D:/My%20Web%20Sites/Original/GRANLIFE/pegasustl.com/images/FIEO_2.png	(from http://pegasustl.com/)
14:02:41	7083/7083	---M-Z	200	added ('OK')	application/javascript	etag:%2269a2fb1-1bab-5bb88a2090600-gzip%22	http://pegasustl.com/lib/jquery/jquery-migrate.min.js	D:/My%20Web%20Sites/Original/GRANLIFE/pegasustl.com/lib/jquery/jquery-migrate.min.js	(from http://pegasustl.com/)
14:02:42	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:%2269a2fb2-1538f-5bb88a2090600-gzip%22	http://pegasustl.com/lib/jquery/jquery.min.js	D:/My%20Web%20Sites/Original/GRANLIFE/pegasustl.com/lib/jquery/jquery.min.js	(from http://pegasustl.com/)
14:02:44	20973/20973	---M-Z	200	added ('OK')	application/javascript	etag:%2269c1e7e-51ed-5bb88a2090600-gzip%22	http://pegasustl.com/lib/popper/popper.min.js	D:/My%20Web%20Sites/Original/GRANLIFE/pegasustl.com/lib/popper/popper.min.js	(from http://pegasustl.com/)
14:02:47	51039/51039	---M-Z	200	added ('OK')	application/javascript	etag:%2269410f3-c75f-5bb88a2090600-gzip%22	http://pegasustl.com/lib/bootstrap/js/bootstrap.min.js	D:/My%20Web%20Sites/Original/GRANLIFE/pegasustl.com/lib/bootstrap/js/bootstrap.min.js	(from http://pegasustl.com/)
14:02:47	95930/95930	---M-Z	200	added ('OK')	application/javascript	etag:%2268e2768-176ba-5bb88a2090600-gzip%22	http://pegasustl.com/js/ajax.js	D:/My%20Web%20Sites/Original/GRANLIFE/pegasustl.com/js/ajax.js	(from http://pegasustl.com/)
14:02:47	2302/2302	---M-Z	200	added ('OK')	application/javascript	etag:%22696264f-8fe-5bb88a2090600-gzip%22	http://pegasustl.com/lib/easing/easing.min.js	D:/My%20Web%20Sites/Original/GRANLIFE/pegasustl.com/lib/easing/easing.min.js	(from http://pegasustl.com/)
14:02:48	4747/4747	---M-Z	200	added ('OK')	application/javascript	etag:%2269410f7-128b-5bb88a2090600-gzip%22	http://pegasustl.com/lib/counterup/jquery.counterup.js	D:/My%20Web%20Sites/Original/GRANLIFE/pegasustl.com/lib/counterup/jquery.counterup.js	(from http://pegasustl.com/)
14:02:48	16374/16374	---M-Z	200	added ('OK')	application/javascript	etag:%226902241-3ff6-5bb88a2090600-gzip%22	http://pegasustl.com/lib/animate/aos.js	D:/My%20Web%20Sites/Original/GRANLIFE/pegasustl.com/lib/animate/aos.js	(from http://pegasustl.com/)
14:02:49	116496/116496	---M--	200	added ('OK')	image/png	etag:%2268c2ee8-1c710-5bb88a2090600%22	http://pegasustl.com/images/andra_chamber_of_commerce_3.png	D:/My%20Web%20Sites/Original/GRANLIFE/pegasustl.com/images/andra_chamber_of_commerce_3.png	(from http://pegasustl.com/)
14:02:50	6023/6023	---M-Z	200	added ('OK')	application/javascript	etag:%2269e2e54-1787-5bb88a2090600-gzip%22	http://pegasustl.com/lib/viewbox/jquery.viewbox.min.js	D:/My%20Web%20Sites/Original/GRANLIFE/pegasustl.com/lib/viewbox/jquery.viewbox.min.js	(from http://pegasustl.com/)
14:02:50	44342/44342	---M-Z	200	added ('OK')	application/javascript	etag:%2269a2fb6-ad36-5bb88a2090600-gzip%22	http://pegasustl.com/lib/owl/owl.carousel.min.js	D:/My%20Web%20Sites/Original/GRANLIFE/pegasustl.com/lib/owl/owl.carousel.min.js	(from http://pegasustl.com/)
14:02:50	27397/27397	---M-Z	200	added ('OK')	application/javascript	etag:%2268e276a-6b05-5bb88a2090600-gzip%22	http://pegasustl.com/js/jquery.validate.min.js	D:/My%20Web%20Sites/Original/GRANLIFE/pegasustl.com/js/jquery.validate.min.js	(from http://pegasustl.com/)
14:02:50	5248/5248	---M-Z	200	added ('OK')	application/javascript	etag:%2268e2769-1480-5bb88a2090600-gzip%22	http://pegasustl.com/js/jquery.animateTyping.js	D:/My%20Web%20Sites/Original/GRANLIFE/pegasustl.com/js/jquery.animateTyping.js	(from http://pegasustl.com/)
14:02:50	14582/14582	---M-Z	200	added ('OK')	application/javascript	etag:%2269c2002-38f6-5bb88a2090600-gzip%22	http://pegasustl.com/lib/slider/js/jquery.carousel-line-arrow.js	D:/My%20Web%20Sites/Original/GRANLIFE/pegasustl.com/lib/slider/js/jquery.carousel-line-arrow.js	(from http://pegasustl.com/)
14:02:50	596/596	---M-Z	200	added ('OK')	application/javascript	etag:%2269c2003-254-5bb88a2090600-gzip%22	http://pegasustl.com/lib/slider/js/main.js	D:/My%20Web%20Sites/Original/GRANLIFE/pegasustl.com/lib/slider/js/main.js	(from http://pegasustl.com/)
14:02:51	13395/13395	---M-Z	200	added ('OK')	application/javascript	etag:%2268e276b-3453-5bb88a2090600-gzip%22	http://pegasustl.com/js/main.js	D:/My%20Web%20Sites/Original/GRANLIFE/pegasustl.com/js/main.js	(from http://pegasustl.com/)
14:03:04	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%226982f16-12d68-5bb88a2090600%22	http://pegasustl.com/lib/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0	D:/My%20Web%20Sites/Original/GRANLIFE/pegasustl.com/lib/font-awesome/fonts/fontawesome-webfont3e6e.woff2	(from http://pegasustl.com/lib/font-awesome/css/font-awesome.min.css)
14:03:17	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%226982f12-2876e-5bb88a2090600%22	http://pegasustl.com/lib/font-awesome/fonts/fontawesome-webfont.eot?v=4.7.0	D:/My%20Web%20Sites/Original/GRANLIFE/pegasustl.com/lib/font-awesome/fonts/fontawesome-webfont3e6e.eot	(from http://pegasustl.com/lib/font-awesome/css/font-awesome.min.css)
